outcome_normalized,completion_period,outcome_trial_count,period_trial_count,percentage
CHANGE FROM BASELINE IN HEMATOCRIT,2011-2015,29,19618,0.1478
CHANGE FROM BASELINE IN HEMATOCRIT,2016-2020,58,22670,0.2558
CHANGE FROM BASELINE IN HEMATOCRIT,2021-2025,31,18711,0.1657
CHANGE FROM BASELINE IN HEMATOLOGY PARAMETERS,2006-2010,5,10330,0.0484
CHANGE FROM BASELINE IN HEMATOLOGY PARAMETERS,2011-2015,4,19618,0.0204
CHANGE FROM BASELINE IN HEMATOLOGY PARAMETERS,2016-2020,52,22670,0.2294
CHANGE FROM BASELINE IN HEMATOLOGY PARAMETERS,2021-2025,32,18711,0.1710
CHANGE FROM BASELINE IN INTRAOCULAR PRESSURE,2006-2010,6,10330,0.0581
CHANGE FROM BASELINE IN INTRAOCULAR PRESSURE,2011-2015,18,19618,0.0918
CHANGE FROM BASELINE IN INTRAOCULAR PRESSURE,2016-2020,13,22670,0.0573
CHANGE FROM BASELINE IN INTRAOCULAR PRESSURE,2021-2025,3,18711,0.0160
CHANGE FROM BASELINE IN PULSE RATE,2006-2010,13,10330,0.1258
CHANGE FROM BASELINE IN PULSE RATE,2011-2015,17,19618,0.0867
CHANGE FROM BASELINE IN PULSE RATE,2016-2020,60,22670,0.2647
CHANGE FROM BASELINE IN PULSE RATE,2021-2025,18,18711,0.0962
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,2006-2010,9,10330,0.0871
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,2011-2015,15,19618,0.0765
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,2016-2020,16,22670,0.0706
CHANGE FROM BASELINE IN RED BLOOD CELL COUNT,2021-2025,5,18711,0.0267
CHANGE FROM BASELINE IN RESPIRATORY RATE,2006-2010,3,10330,0.0290
CHANGE FROM BASELINE IN RESPIRATORY RATE,2011-2015,9,19618,0.0459
CHANGE FROM BASELINE IN RESPIRATORY RATE,2016-2020,55,22670,0.2426
CHANGE FROM BASELINE IN RESPIRATORY RATE,2021-2025,39,18711,0.2084
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,2006-2010,6,10330,0.0581
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,2011-2015,13,19618,0.0663
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,2016-2020,26,22670,0.1147
CHANGE FROM BASELINE IN SYSTOLIC AND DIASTOLIC BLOOD PRESSURE,2021-2025,6,18711,0.0321
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,2006-2010,18,10330,0.1742
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,2011-2015,20,19618,0.1019
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,2016-2020,36,22670,0.1588
CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,2021-2025,19,18711,0.1015
CHANGE FROM BASELINE IN TROUGH FEV1,2006-2010,12,10330,0.1162
CHANGE FROM BASELINE IN TROUGH FEV1,2011-2015,59,19618,0.3007
CHANGE FROM BASELINE IN TROUGH FEV1,2016-2020,29,22670,0.1279
CHANGE FROM BASELINE IN TROUGH FEV1,2021-2025,7,18711,0.0374
CHANGE IN 6-MINUTE WALK DISTANCE,2006-2010,44,10330,0.4259
CHANGE IN 6-MINUTE WALK DISTANCE,2011-2015,106,19618,0.5403
CHANGE IN 6-MINUTE WALK DISTANCE,2016-2020,208,22670,0.9175
CHANGE IN 6-MINUTE WALK DISTANCE,2021-2025,113,18711,0.6039
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,2006-2010,17,10330,0.1646
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,2011-2015,25,19618,0.1274
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,2016-2020,30,22670,0.1323
CHANGE IN ABSOLUTE NEUTROPHIL COUNT,2021-2025,20,18711,0.1069
CHANGE IN ADAS-COG SCORE,2006-2010,23,10330,0.2227
CHANGE IN ADAS-COG SCORE,2011-2015,40,19618,0.2039
CHANGE IN ADAS-COG SCORE,2016-2020,51,22670,0.2250
CHANGE IN ADAS-COG SCORE,2021-2025,30,18711,0.1603
CHANGE IN ADHD-RS SCORE,2006-2010,23,10330,0.2227
CHANGE IN ADHD-RS SCORE,2011-2015,25,19618,0.1274
CHANGE IN ADHD-RS SCORE,2016-2020,15,22670,0.0662
CHANGE IN ADHD-RS SCORE,2021-2025,3,18711,0.0160
CHANGE IN ALBUMIN,2006-2010,18,10330,0.1742
CHANGE IN ALBUMIN,2011-2015,31,19618,0.1580
CHANGE IN ALBUMIN,2016-2020,53,22670,0.2338
CHANGE IN ALBUMIN,2021-2025,50,18711,0.2672
CHANGE IN ALBUMIN AND TOTAL PROTEIN,2006-2010,13,10330,0.1258
CHANGE IN ALBUMIN AND TOTAL PROTEIN,2011-2015,15,19618,0.0765
CHANGE IN ALBUMIN AND TOTAL PROTEIN,2016-2020,19,22670,0.0838
CHANGE IN ALBUMIN AND TOTAL PROTEIN,2021-2025,5,18711,0.0267
CHANGE IN ALKALINE PHOSPHATASE,2006-2010,6,10330,0.0581
CHANGE IN ALKALINE PHOSPHATASE,2011-2015,8,19618,0.0408
CHANGE IN ALKALINE PHOSPHATASE,2016-2020,16,22670,0.0706
CHANGE IN ALKALINE PHOSPHATASE,2021-2025,17,18711,0.0909
CHANGE IN ALT,2006-2010,47,10330,0.4550
CHANGE IN ALT,2011-2015,71,19618,0.3619
CHANGE IN ALT,2016-2020,115,22670,0.5073
CHANGE IN ALT,2021-2025,84,18711,0.4489
CHANGE IN ANXIETY SCORE,2006-2010,3,10330,0.0290
CHANGE IN ANXIETY SCORE,2011-2015,6,19618,0.0306
CHANGE IN ANXIETY SCORE,2016-2020,29,22670,0.1279
CHANGE IN ANXIETY SCORE,2021-2025,36,18711,0.1924
CHANGE IN AST,2006-2010,25,10330,0.2420
CHANGE IN AST,2011-2015,43,19618,0.2192
CHANGE IN AST,2016-2020,91,22670,0.4014
CHANGE IN AST,2021-2025,58,18711,0.3100
CHANGE IN BASDAI SCORE,2006-2010,8,10330,0.0774
CHANGE IN BASDAI SCORE,2011-2015,18,19618,0.0918
CHANGE IN BASDAI SCORE,2016-2020,31,22670,0.1367
CHANGE IN BASDAI SCORE,2021-2025,11,18711,0.0588
CHANGE IN BDI-II SCORE,2006-2010,11,10330,0.1065
CHANGE IN BDI-II SCORE,2011-2015,22,19618,0.1121
CHANGE IN BDI-II SCORE,2016-2020,22,22670,0.0970
CHANGE IN BDI-II SCORE,2021-2025,17,18711,0.0909
CHANGE IN BEST CORRECTED VISUAL ACUITY,2006-2010,1,10330,0.0097
CHANGE IN BEST CORRECTED VISUAL ACUITY,2011-2015,10,19618,0.0510
CHANGE IN BEST CORRECTED VISUAL ACUITY,2016-2020,24,22670,0.1059
CHANGE IN BEST CORRECTED VISUAL ACUITY,2021-2025,21,18711,0.1122
CHANGE IN BILIRUBIN,2006-2010,15,10330,0.1452
CHANGE IN BILIRUBIN,2011-2015,22,19618,0.1121
CHANGE IN BILIRUBIN,2016-2020,55,22670,0.2426
CHANGE IN BILIRUBIN,2021-2025,42,18711,0.2245
CHANGE IN BILIRUBIN AND CREATININE,2006-2010,3,10330,0.0290
CHANGE IN BILIRUBIN AND CREATININE,2011-2015,7,19618,0.0357
CHANGE IN BILIRUBIN AND CREATININE,2016-2020,25,22670,0.1103
CHANGE IN BILIRUBIN AND CREATININE,2021-2025,13,18711,0.0695
CHANGE IN BLOOD PRESSURE,2006-2010,147,10330,1.4230
CHANGE IN BLOOD PRESSURE,2011-2015,218,19618,1.1112
CHANGE IN BLOOD PRESSURE,2016-2020,285,22670,1.2572
CHANGE IN BLOOD PRESSURE,2021-2025,189,18711,1.0101
CHANGE IN BNP,2006-2010,9,10330,0.0871
CHANGE IN BNP,2011-2015,21,19618,0.1070
CHANGE IN BNP,2016-2020,11,22670,0.0485
CHANGE IN BNP,2021-2025,9,18711,0.0481
CHANGE IN BODY MASS INDEX,2006-2010,70,10330,0.6776
CHANGE IN BODY MASS INDEX,2011-2015,126,19618,0.6423
CHANGE IN BODY MASS INDEX,2016-2020,192,22670,0.8469
CHANGE IN BODY MASS INDEX,2021-2025,163,18711,0.8711
CHANGE IN BODY TEMPERATURE,2006-2010,3,10330,0.0290
CHANGE IN BODY TEMPERATURE,2011-2015,9,19618,0.0459
CHANGE IN BODY TEMPERATURE,2016-2020,25,22670,0.1103
CHANGE IN BODY TEMPERATURE,2021-2025,17,18711,0.0909
CHANGE IN BODY WEIGHT,2006-2010,237,10330,2.2943
CHANGE IN BODY WEIGHT,2011-2015,375,19618,1.9115
CHANGE IN BODY WEIGHT,2016-2020,445,22670,1.9629
CHANGE IN BODY WEIGHT,2021-2025,322,18711,1.7209
CHANGE IN BONE MINERAL DENSITY,2006-2010,43,10330,0.4163
