outcome_normalized,phase,outcome_trial_count,phase_trial_count,percentage
CHANGE IN ADHD-RS SCORE,Phase 4,24,7428,0.3231
CHANGE IN ALBUMIN,Phase 1,11,5382,0.2044
CHANGE IN ALBUMIN,Phase 2,54,17715,0.3048
CHANGE IN ALBUMIN,Phase 3,50,12737,0.3926
CHANGE IN ALBUMIN,Phase 4,10,7428,0.1346
CHANGE IN ALBUMIN AND TOTAL PROTEIN,Phase 1,6,5382,0.1115
CHANGE IN ALBUMIN AND TOTAL PROTEIN,Phase 2,27,17715,0.1524
CHANGE IN ALBUMIN AND TOTAL PROTEIN,Phase 3,14,12737,0.1099
CHANGE IN ALBUMIN AND TOTAL PROTEIN,Phase 4,3,7428,0.0404
CHANGE IN ALKALINE PHOSPHATASE,Phase 1,4,5382,0.0743
CHANGE IN ALKALINE PHOSPHATASE,Phase 2,16,17715,0.0903
CHANGE IN ALKALINE PHOSPHATASE,Phase 3,14,12737,0.1099
CHANGE IN ALKALINE PHOSPHATASE,Phase 4,7,7428,0.0942
CHANGE IN ALT,Phase 1,24,5382,0.4459
CHANGE IN ALT,Phase 2,127,17715,0.7169
CHANGE IN ALT,Phase 3,63,12737,0.4946
CHANGE IN ALT,Phase 4,35,7428,0.4712
CHANGE IN ANXIETY SCORE,Phase 2,4,17715,0.0226
CHANGE IN ANXIETY SCORE,Phase 3,5,12737,0.0393
CHANGE IN ANXIETY SCORE,Phase 4,4,7428,0.0539
CHANGE IN AST,Phase 1,17,5382,0.3159
CHANGE IN AST,Phase 2,86,17715,0.4855
CHANGE IN AST,Phase 3,39,12737,0.3062
CHANGE IN AST,Phase 4,19,7428,0.2558
CHANGE IN BASDAI SCORE,Phase 2,9,17715,0.0508
CHANGE IN BASDAI SCORE,Phase 3,29,12737,0.2277
CHANGE IN BASDAI SCORE,Phase 4,11,7428,0.1481
CHANGE IN BDI-II SCORE,Phase 1,2,5382,0.0372
CHANGE IN BDI-II SCORE,Phase 2,14,17715,0.0790
CHANGE IN BDI-II SCORE,Phase 3,13,12737,0.1021
CHANGE IN BDI-II SCORE,Phase 4,11,7428,0.1481
CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 1,4,5382,0.0743
CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 2,18,17715,0.1016
CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 3,7,12737,0.0550
CHANGE IN BEST CORRECTED VISUAL ACUITY,Phase 4,11,7428,0.1481
CHANGE IN BILIRUBIN,Phase 1,11,5382,0.2044
CHANGE IN BILIRUBIN,Phase 2,63,17715,0.3556
CHANGE IN BILIRUBIN,Phase 3,35,12737,0.2748
CHANGE IN BILIRUBIN,Phase 4,8,7428,0.1077
CHANGE IN BILIRUBIN AND CREATININE,Phase 1,17,5382,0.3159
CHANGE IN BILIRUBIN AND CREATININE,Phase 2,11,17715,0.0621
CHANGE IN BILIRUBIN AND CREATININE,Phase 3,19,12737,0.1492
CHANGE IN BLOOD PRESSURE,Phase 1,78,5382,1.4493
CHANGE IN BLOOD PRESSURE,Phase 2,204,17715,1.1516
CHANGE IN BLOOD PRESSURE,Phase 3,229,12737,1.7979
CHANGE IN BLOOD PRESSURE,Phase 4,104,7428,1.4001
CHANGE IN BNP,Phase 2,10,17715,0.0564
CHANGE IN BNP,Phase 3,11,12737,0.0864
CHANGE IN BNP,Phase 4,14,7428,0.1885
CHANGE IN BODY MASS INDEX,Phase 1,4,5382,0.0743
CHANGE IN BODY MASS INDEX,Phase 2,88,17715,0.4968
CHANGE IN BODY MASS INDEX,Phase 3,145,12737,1.1384
CHANGE IN BODY MASS INDEX,Phase 4,62,7428,0.8347
CHANGE IN BODY TEMPERATURE,Phase 1,10,5382,0.1858
CHANGE IN BODY TEMPERATURE,Phase 2,24,17715,0.1355
CHANGE IN BODY TEMPERATURE,Phase 3,9,12737,0.0707
CHANGE IN BODY TEMPERATURE,Phase 4,3,7428,0.0404
CHANGE IN BODY WEIGHT,Phase 1,28,5382,0.5203
CHANGE IN BODY WEIGHT,Phase 2,264,17715,1.4903
CHANGE IN BODY WEIGHT,Phase 3,494,12737,3.8785
CHANGE IN BODY WEIGHT,Phase 4,165,7428,2.2213
CHANGE IN BONE MINERAL DENSITY,Phase 1,8,5382,0.1486
CHANGE IN BONE MINERAL DENSITY,Phase 2,67,17715,0.3782
CHANGE IN BONE MINERAL DENSITY,Phase 3,78,12737,0.6124
CHANGE IN BONE MINERAL DENSITY,Phase 4,23,7428,0.3096
CHANGE IN BPI SCORE,Phase 1,1,5382,0.0186
CHANGE IN BPI SCORE,Phase 2,52,17715,0.2935
CHANGE IN BPI SCORE,Phase 3,70,12737,0.5496
CHANGE IN BPI SCORE,Phase 4,27,7428,0.3635
CHANGE IN C-REACTIVE PROTEIN,Phase 1,4,5382,0.0743
CHANGE IN C-REACTIVE PROTEIN,Phase 2,32,17715,0.1806
CHANGE IN C-REACTIVE PROTEIN,Phase 3,19,12737,0.1492
CHANGE IN C-REACTIVE PROTEIN,Phase 4,12,7428,0.1616
CHANGE IN CD4 COUNT,Phase 1,12,5382,0.2230
CHANGE IN CD4 COUNT,Phase 2,91,17715,0.5137
CHANGE IN CD4 COUNT,Phase 3,95,12737,0.7459
CHANGE IN CD4 COUNT,Phase 4,39,7428,0.5250
CHANGE IN CDAI SCORE,Phase 1,4,5382,0.0743
CHANGE IN CDAI SCORE,Phase 2,50,17715,0.2822
CHANGE IN CDAI SCORE,Phase 3,57,12737,0.4475
CHANGE IN CDAI SCORE,Phase 4,12,7428,0.1616
CHANGE IN CES-D SCORE,Phase 1,2,5382,0.0372
CHANGE IN CES-D SCORE,Phase 2,10,17715,0.0564
CHANGE IN CES-D SCORE,Phase 3,1,12737,0.0079
CHANGE IN CES-D SCORE,Phase 4,5,7428,0.0673
CHANGE IN CGI-S SCORE,Phase 1,2,5382,0.0372
CHANGE IN CGI-S SCORE,Phase 2,26,17715,0.1468
CHANGE IN CGI-S SCORE,Phase 3,44,12737,0.3455
CHANGE IN CGI-S SCORE,Phase 4,9,7428,0.1212
CHANGE IN CREATININE,Phase 1,19,5382,0.3530
CHANGE IN CREATININE,Phase 2,75,17715,0.4234
CHANGE IN CREATININE,Phase 3,62,12737,0.4868
CHANGE IN CREATININE,Phase 4,39,7428,0.5250
CHANGE IN CRP,Phase 1,18,5382,0.3344
CHANGE IN CRP,Phase 2,122,17715,0.6887
CHANGE IN CRP,Phase 3,108,12737,0.8479
CHANGE IN CRP,Phase 4,53,7428,0.7135
CHANGE IN DAS28 SCORE,Phase 1,3,5382,0.0557
CHANGE IN DAS28 SCORE,Phase 2,87,17715,0.4911
CHANGE IN DAS28 SCORE,Phase 3,162,12737,1.2719
CHANGE IN DAS28 SCORE,Phase 4,38,7428,0.5116
CHANGE IN DEPRESSION SCORE,Phase 1,1,5382,0.0186
CHANGE IN DEPRESSION SCORE,Phase 2,3,17715,0.0169
CHANGE IN DEPRESSION SCORE,Phase 3,3,12737,0.0236
CHANGE IN DEPRESSION SCORE,Phase 4,6,7428,0.0808
CHANGE IN DIASTOLIC BLOOD PRESSURE,Phase 1,14,5382,0.2601
CHANGE IN DIASTOLIC BLOOD PRESSURE,Phase 2,57,17715,0.3218
CHANGE IN DIASTOLIC BLOOD PRESSURE,Phase 3,87,12737,0.6830
CHANGE IN DIASTOLIC BLOOD PRESSURE,Phase 4,27,7428,0.3635
CHANGE IN DLQI SCORE,Phase 1,2,5382,0.0372
CHANGE IN DLQI SCORE,Phase 2,72,17715,0.4064
CHANGE IN DLQI SCORE,Phase 3,119,12737,0.9343
CHANGE IN DLQI SCORE,Phase 4,33,7428,0.4443
CHANGE IN DYSPNEA SCORE,Phase 2,22,17715,0.1242
CHANGE IN DYSPNEA SCORE,Phase 3,17,12737,0.1335
