outcome_normalized,phase,outcome_trial_count,phase_trial_count,percentage
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,Phase 1,3,5382,0.0557
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,Phase 2,33,17715,0.1863
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,Phase 3,20,12737,0.1570
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,Phase 4,7,7428,0.0942
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,Phase 1,14,5382,0.2601
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,Phase 2,35,17715,0.1976
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,Phase 3,31,12737,0.2434
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,Phase 4,8,7428,0.1077
NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,Phase 1,3,5382,0.0557
NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,Phase 2,29,17715,0.1637
NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,Phase 3,8,12737,0.0628
NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,Phase 4,1,7428,0.0135
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,Phase 1,27,5382,0.5017
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,Phase 2,12,17715,0.0677
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,Phase 3,5,12737,0.0393
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,Phase 4,2,7428,0.0269
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,Phase 1,36,5382,0.6689
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,Phase 2,20,17715,0.1129
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,Phase 3,13,12737,0.1021
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,Phase 4,1,7428,0.0135
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,Phase 1,36,5382,0.6689
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,Phase 2,26,17715,0.1468
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,Phase 3,20,12737,0.1570
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,Phase 4,2,7428,0.0269
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,Phase 1,18,5382,0.3344
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,Phase 2,24,17715,0.1355
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,Phase 3,14,12737,0.1099
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,Phase 4,1,7428,0.0135
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,Phase 1,28,5382,0.5203
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,Phase 2,13,17715,0.0734
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,Phase 3,7,12737,0.0550
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,Phase 1,36,5382,0.6689
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,Phase 2,34,17715,0.1919
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,Phase 3,21,12737,0.1649
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,Phase 4,3,7428,0.0404
NUMBER OF PARTICIPANTS WITH COMPLICATIONS,Phase 2,4,17715,0.0226
NUMBER OF PARTICIPANTS WITH COMPLICATIONS,Phase 3,2,12737,0.0157
NUMBER OF PARTICIPANTS WITH COMPLICATIONS,Phase 4,7,7428,0.0942
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,Phase 1,94,5382,1.7466
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,Phase 2,20,17715,0.1129
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,Phase 3,4,12737,0.0314
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,Phase 4,1,7428,0.0135
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,Phase 1,22,5382,0.4088
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,Phase 2,6,17715,0.0339
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,Phase 4,1,7428,0.0135
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,Phase 1,109,5382,2.0253
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,Phase 2,17,17715,0.0960
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,Phase 3,6,12737,0.0471
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,Phase 1,21,5382,0.3902
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,Phase 2,2,17715,0.0113
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,Phase 3,1,12737,0.0079
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,Phase 1,37,5382,0.6875
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,Phase 2,30,17715,0.1693
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,Phase 3,17,12737,0.1335
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,Phase 4,9,7428,0.1212
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,Phase 1,46,5382,0.8547
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,Phase 2,29,17715,0.1637
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,Phase 3,17,12737,0.1335
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,Phase 4,3,7428,0.0404
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 1,9,5382,0.1672
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 2,36,17715,0.2032
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 3,11,12737,0.0864
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,Phase 4,1,7428,0.0135
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,Phase 1,8,5382,0.1486
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,Phase 2,15,17715,0.0847
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,Phase 3,15,12737,0.1178
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,Phase 4,2,7428,0.0269
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 1,96,5382,1.7837
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 2,97,17715,0.5476
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 3,74,12737,0.5810
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 4,15,7428,0.2019
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,Phase 1,55,5382,1.0219
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,Phase 2,29,17715,0.1637
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,Phase 3,20,12737,0.1570
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,Phase 4,2,7428,0.0269
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,Phase 1,10,5382,0.1858
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,Phase 2,11,17715,0.0621
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,Phase 3,7,12737,0.0550
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,Phase 4,5,7428,0.0673
NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,Phase 1,19,5382,0.3530
NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,Phase 2,28,17715,0.1581
NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,Phase 3,10,12737,0.0785
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 1,277,5382,5.1468
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 2,508,17715,2.8676
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 3,508,12737,3.9884
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 4,122,7428,1.6424
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,Phase 1,33,5382,0.6132
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,Phase 2,58,17715,0.3274
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,Phase 3,5,12737,0.0393
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,Phase 4,2,7428,0.0269
NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,Phase 1,26,5382,0.4831
NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,Phase 2,51,17715,0.2879
NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,Phase 1,6,5382,0.1115
NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,Phase 2,16,17715,0.0903
NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,Phase 3,14,12737,0.1099
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 1,121,5382,2.2482
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 2,240,17715,1.3548
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 3,181,12737,1.4211
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 4,36,7428,0.4847
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,Phase 1,4,5382,0.0743
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,Phase 2,17,17715,0.0960
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,Phase 3,6,12737,0.0471
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,Phase 4,2,7428,0.0269
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 1,607,5382,11.2783
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 2,1002,17715,5.6562
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 3,851,12737,6.6813
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 4,134,7428,1.8040
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,Phase 1,11,5382,0.2044
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,Phase 2,22,17715,0.1242
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,Phase 3,20,12737,0.1570
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,Phase 4,6,7428,0.0808
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,Phase 1,51,5382,0.9476
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,Phase 2,123,17715,0.6943
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,Phase 3,18,12737,0.1413
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,Phase 4,4,7428,0.0539
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,Phase 1,24,5382,0.4459
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,Phase 2,57,17715,0.3218
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,Phase 3,74,12737,0.5810
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,Phase 4,11,7428,0.1481
NUMBER OF PATIENTS WITH ADVERSE EVENTS,Phase 1,10,5382,0.1858
NUMBER OF PATIENTS WITH ADVERSE EVENTS,Phase 2,49,17715,0.2766
NUMBER OF PATIENTS WITH ADVERSE EVENTS,Phase 3,25,12737,0.1963
NUMBER OF PATIENTS WITH ADVERSE EVENTS,Phase 4,15,7428,0.2019
NUMBER OF RESPONDERS,Phase 2,20,17715,0.1129
NUMBER OF RESPONDERS,Phase 3,16,12737,0.1256
NUMBER OF RESPONDERS,Phase 4,4,7428,0.0539
NUMBER OF SERIOUS ADVERSE EVENTS,Phase 1,13,5382,0.2415
NUMBER OF SERIOUS ADVERSE EVENTS,Phase 2,28,17715,0.1581
NUMBER OF SERIOUS ADVERSE EVENTS,Phase 3,26,12737,0.2041
NUMBER OF SERIOUS ADVERSE EVENTS,Phase 4,10,7428,0.1346
NUMBER OF SEROCONVERTED SUBJECTS,Phase 2,15,17715,0.0847
NUMBER OF SEROCONVERTED SUBJECTS,Phase 3,37,12737,0.2905
NUMBER OF SEROCONVERTED SUBJECTS,Phase 4,4,7428,0.0539
NUMBER OF SEROPROTECTED SUBJECTS,Phase 1,1,5382,0.0186
NUMBER OF SEROPROTECTED SUBJECTS,Phase 2,11,17715,0.0621
NUMBER OF SEROPROTECTED SUBJECTS,Phase 3,31,12737,0.2434
NUMBER OF SEROPROTECTED SUBJECTS,Phase 4,5,7428,0.0673
NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,Phase 1,4,5382,0.0743
NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,Phase 2,10,17715,0.0564
NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,Phase 3,47,12737,0.3690
NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,Phase 4,10,7428,0.1346
NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,Phase 2,45,17715,0.2540
NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,Phase 3,71,12737,0.5574
NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,Phase 4,6,7428,0.0808
NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,Phase 1,1,5382,0.0186
NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,Phase 2,18,17715,0.1016
NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,Phase 3,33,12737,0.2591
NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,Phase 4,5,7428,0.0673
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",Phase 2,42,17715,0.2371
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",Phase 3,61,12737,0.4789
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",Phase 4,6,7428,0.0808
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",Phase 1,1,5382,0.0186
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",Phase 2,24,17715,0.1355
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",Phase 3,38,12737,0.2983
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",Phase 4,1,7428,0.0135
NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,Phase 1,3,5382,0.0557
NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,Phase 2,19,17715,0.1073
NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,Phase 3,23,12737,0.1806
NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,Phase 4,3,7428,0.0404
NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,Phase 1,3,5382,0.0557
NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,Phase 2,17,17715,0.0960
NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,Phase 3,21,12737,0.1649
NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,Phase 4,2,7428,0.0269
NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,Phase 1,5,5382,0.0929
NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,Phase 2,18,17715,0.1016
NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,Phase 3,26,12737,0.2041
NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,Phase 4,6,7428,0.0808
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 1,6,5382,0.1115
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 2,25,17715,0.1411
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 3,22,12737,0.1727
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,Phase 4,4,7428,0.0539
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 1,16,5382,0.2973
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 2,43,17715,0.2427
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 3,38,12737,0.2983
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,Phase 4,1,7428,0.0135
OBJECTIVE RESPONSE RATE,Phase 1,720,5382,13.3779
OBJECTIVE RESPONSE RATE,Phase 2,3684,17715,20.7959
OBJECTIVE RESPONSE RATE,Phase 3,889,12737,6.9797
OBJECTIVE RESPONSE RATE,Phase 4,74,7428,0.9962
OCCURRENCE OF ADVERSE EVENTS,Phase 1,5,5382,0.0929
OCCURRENCE OF ADVERSE EVENTS,Phase 2,8,17715,0.0452
OCCURRENCE OF ADVERSE EVENTS,Phase 3,11,12737,0.0864
OCCURRENCE OF ADVERSE EVENTS,Phase 4,6,7428,0.0808
OPERATIVE TIME,Phase 2,1,17715,0.0056
OPERATIVE TIME,Phase 3,6,12737,0.0471
OPERATIVE TIME,Phase 4,3,7428,0.0404
OPIOID CONSUMPTION,Phase 1,1,5382,0.0186
OPIOID CONSUMPTION,Phase 2,3,17715,0.0169
OPIOID CONSUMPTION,Phase 3,6,12737,0.0471
OPIOID CONSUMPTION,Phase 4,50,7428,0.6731
OVERALL SURVIVAL,Phase 1,273,5382,5.0725
OVERALL SURVIVAL,Phase 2,3193,17715,18.0243
OVERALL SURVIVAL,Phase 3,1252,12737,9.8296
OVERALL SURVIVAL,Phase 4,71,7428,0.9558
OVERALL SURVIVAL RATE,Phase 1,3,5382,0.0557
OVERALL SURVIVAL RATE,Phase 2,62,17715,0.3500
OVERALL SURVIVAL RATE,Phase 3,18,12737,0.1413
OVERALL SURVIVAL RATE,Phase 4,2,7428,0.0269
PAIN INTENSITY,Phase 2,8,17715,0.0452
PAIN INTENSITY,Phase 3,8,12737,0.0628
PAIN INTENSITY,Phase 4,4,7428,0.0539
PAIN INTERFERENCE SCORE,Phase 2,3,17715,0.0169
PAIN INTERFERENCE SCORE,Phase 3,3,12737,0.0236
PAIN INTERFERENCE SCORE,Phase 4,3,7428,0.0404
PAIN RESPONSE RATE,Phase 1,1,5382,0.0186
PAIN RESPONSE RATE,Phase 2,62,17715,0.3500
PAIN RESPONSE RATE,Phase 3,117,12737,0.9186
PAIN RESPONSE RATE,Phase 4,32,7428,0.4308
PAIN SCORE,Phase 2,17,17715,0.0960
PAIN SCORE,Phase 3,15,12737,0.1178
PAIN SCORE,Phase 4,64,7428,0.8616
PARTIAL RESPONSE RATE,Phase 1,13,5382,0.2415
PARTIAL RESPONSE RATE,Phase 2,60,17715,0.3387
PARTIAL RESPONSE RATE,Phase 3,12,12737,0.0942
PARTIAL RESPONSE RATE,Phase 4,5,7428,0.0673
PARTICIPANT SATISFACTION,Phase 1,4,5382,0.0743
PARTICIPANT SATISFACTION,Phase 2,6,17715,0.0339
PARTICIPANT SATISFACTION,Phase 3,6,12737,0.0471
PARTICIPANT SATISFACTION,Phase 4,8,7428,0.1077
PASI 100 RESPONSE,Phase 1,1,5382,0.0186
PASI 100 RESPONSE,Phase 2,18,17715,0.1016
PASI 100 RESPONSE,Phase 3,51,12737,0.4004
PASI 100 RESPONSE,Phase 4,10,7428,0.1346
PASI 50 RESPONSE,Phase 1,2,5382,0.0372
PASI 50 RESPONSE,Phase 2,34,17715,0.1919
PASI 50 RESPONSE,Phase 3,35,12737,0.2748
PASI 50 RESPONSE,Phase 4,12,7428,0.1616
PASI 75 RESPONSE,Phase 1,1,5382,0.0186
PASI 75 RESPONSE,Phase 2,76,17715,0.4290
PASI 75 RESPONSE,Phase 3,155,12737,1.2169
PASI 75 RESPONSE,Phase 4,34,7428,0.4577
PASI 90 RESPONSE,Phase 1,1,5382,0.0186
PASI 90 RESPONSE,Phase 2,32,17715,0.1806
PASI 90 RESPONSE,Phase 3,105,12737,0.8244
PASI 90 RESPONSE,Phase 4,20,7428,0.2693
PATHOLOGIC COMPLETE RESPONSE,Phase 1,2,5382,0.0372
PATHOLOGIC COMPLETE RESPONSE,Phase 2,79,17715,0.4459
PATHOLOGIC COMPLETE RESPONSE,Phase 3,8,12737,0.0628
PATHOLOGIC COMPLETE RESPONSE RATE,Phase 1,2,5382,0.0372
PATHOLOGIC COMPLETE RESPONSE RATE,Phase 2,38,17715,0.2145
PATHOLOGIC COMPLETE RESPONSE RATE,Phase 3,5,12737,0.0393
PATHOLOGICAL COMPLETE RESPONSE,Phase 1,9,5382,0.1672
PATHOLOGICAL COMPLETE RESPONSE,Phase 2,131,17715,0.7395
PATHOLOGICAL COMPLETE RESPONSE,Phase 3,17,12737,0.1335
PATHOLOGICAL COMPLETE RESPONSE,Phase 4,1,7428,0.0135
PATIENT GLOBAL IMPRESSION OF CHANGE,Phase 1,1,5382,0.0186
PATIENT GLOBAL IMPRESSION OF CHANGE,Phase 2,163,17715,0.9201
PATIENT GLOBAL IMPRESSION OF CHANGE,Phase 3,193,12737,1.5153
PATIENT GLOBAL IMPRESSION OF CHANGE,Phase 4,72,7428,0.9693
PATIENT GLOBAL IMPRESSION OF IMPROVEMENT,Phase 2,9,17715,0.0508
PATIENT GLOBAL IMPRESSION OF IMPROVEMENT,Phase 3,34,12737,0.2669
PATIENT GLOBAL IMPRESSION OF IMPROVEMENT,Phase 4,10,7428,0.1346
PATIENT GLOBAL IMPRESSION OF SEVERITY,Phase 2,28,17715,0.1581
PATIENT GLOBAL IMPRESSION OF SEVERITY,Phase 3,22,12737,0.1727
PATIENT GLOBAL IMPRESSION OF SEVERITY,Phase 4,1,7428,0.0135
PATIENT SATISFACTION,Phase 1,6,5382,0.1115
PATIENT SATISFACTION,Phase 2,49,17715,0.2766
PATIENT SATISFACTION,Phase 3,94,12737,0.7380
PATIENT SATISFACTION,Phase 4,188,7428,2.5310
PEAK PLASMA CONCENTRATION,Phase 1,39,5382,0.7246
PEAK PLASMA CONCENTRATION,Phase 2,22,17715,0.1242
PEAK PLASMA CONCENTRATION,Phase 3,5,12737,0.0393
PEAK PLASMA CONCENTRATION,Phase 4,8,7428,0.1077
PERCEIVED STRESS SCORE,Phase 1,1,5382,0.0186
PERCEIVED STRESS SCORE,Phase 2,4,17715,0.0226
PERCEIVED STRESS SCORE,Phase 3,1,12737,0.0079
PERCENT CHANGE IN APOLIPOPROTEIN B,Phase 1,2,5382,0.0372
PERCENT CHANGE IN APOLIPOPROTEIN B,Phase 2,26,17715,0.1468
PERCENT CHANGE IN APOLIPOPROTEIN B,Phase 3,74,12737,0.5810
PERCENT CHANGE IN APOLIPOPROTEIN B,Phase 4,5,7428,0.0673
PERCENT CHANGE IN BODY WEIGHT,Phase 1,1,5382,0.0186
PERCENT CHANGE IN BODY WEIGHT,Phase 2,35,17715,0.1976
PERCENT CHANGE IN BODY WEIGHT,Phase 3,29,12737,0.2277
PERCENT CHANGE IN BODY WEIGHT,Phase 4,6,7428,0.0808
PERCENT CHANGE IN BONE MINERAL DENSITY,Phase 1,5,5382,0.0929
PERCENT CHANGE IN BONE MINERAL DENSITY,Phase 2,13,17715,0.0734
PERCENT CHANGE IN BONE MINERAL DENSITY,Phase 3,40,12737,0.3140
PERCENT CHANGE IN BONE MINERAL DENSITY,Phase 4,6,7428,0.0808
PERCENT CHANGE IN EASI SCORE,Phase 1,2,5382,0.0372
PERCENT CHANGE IN EASI SCORE,Phase 2,29,17715,0.1637
PERCENT CHANGE IN EASI SCORE,Phase 3,23,12737,0.1806
PERCENT CHANGE IN FASTING TRIGLYCERIDES,Phase 1,2,5382,0.0372
PERCENT CHANGE IN FASTING TRIGLYCERIDES,Phase 2,13,17715,0.0734
PERCENT CHANGE IN FASTING TRIGLYCERIDES,Phase 3,32,12737,0.2512
PERCENT CHANGE IN FASTING TRIGLYCERIDES,Phase 4,3,7428,0.0404
PERCENT CHANGE IN HDL CHOLESTEROL,Phase 1,4,5382,0.0743
PERCENT CHANGE IN HDL CHOLESTEROL,Phase 2,24,17715,0.1355
PERCENT CHANGE IN HDL CHOLESTEROL,Phase 3,92,12737,0.7223
PERCENT CHANGE IN HDL CHOLESTEROL,Phase 4,7,7428,0.0942
PERCENT CHANGE IN LDL CHOLESTEROL,Phase 1,6,5382,0.1115
PERCENT CHANGE IN LDL CHOLESTEROL,Phase 2,48,17715,0.2710
PERCENT CHANGE IN LDL CHOLESTEROL,Phase 3,126,12737,0.9892
PERCENT CHANGE IN LDL CHOLESTEROL,Phase 4,10,7428,0.1346
PERCENT CHANGE IN LDL-C,Phase 1,1,5382,0.0186
PERCENT CHANGE IN LDL-C,Phase 2,14,17715,0.0790
PERCENT CHANGE IN LDL-C,Phase 3,47,12737,0.3690
PERCENT CHANGE IN LDL-C,Phase 4,3,7428,0.0404
PERCENT CHANGE IN NON-HDL CHOLESTEROL,Phase 1,1,5382,0.0186
