disease_area,disease,start_year,outcome_category,outcome_record_count,trial_count
Sleep disorder,Insomnia,2017,Mental Health Outcomes,13,5
Sleep disorder,Insomnia,2017,Quality of Life/PRO,40,6
Sleep disorder,Insomnia,2017,Remission/Cure,1,1
Sleep disorder,Insomnia,2017,Survival/Time-to-Event,1,1
Sleep disorder,Insomnia,2017,Symptoms/Pain,17,6
Sleep disorder,Insomnia,2017,Treatment Adherence,4,1
Sleep disorder,Insomnia,2017,Vital Signs/Physical Measures,1,1
Sleep disorder,Narcolepsy,2017,Adverse Events/Safety,6,2
Sleep disorder,Narcolepsy,2017,Disease Activity Scores,1,1
Sleep disorder,Narcolepsy,2017,Functional Status,3,3
Sleep disorder,Narcolepsy,2017,Pharmacokinetics,16,2
Sleep disorder,Narcolepsy,2017,Quality of Life/PRO,20,3
Sleep disorder,Narcolepsy,2017,Response Rates,1,1
Sleep disorder,Narcolepsy,2017,Symptoms/Pain,10,5
Sleep disorder,Narcolepsy,2017,Vital Signs/Physical Measures,1,1
Sleep disorder,Obstructive Sleep Apnea,2017,Adverse Events/Safety,13,5
Sleep disorder,Obstructive Sleep Apnea,2017,Biomarkers/Lab Values,3,3
Sleep disorder,Obstructive Sleep Apnea,2017,Disease Activity Scores,6,6
Sleep disorder,Obstructive Sleep Apnea,2017,Disease Control,5,5
Sleep disorder,Obstructive Sleep Apnea,2017,Functional Status,4,4
Sleep disorder,Obstructive Sleep Apnea,2017,Hospitalization/Healthcare Use,5,2
Sleep disorder,Obstructive Sleep Apnea,2017,Imaging Outcomes,1,1
Sleep disorder,Obstructive Sleep Apnea,2017,Mental Health Outcomes,8,4
Sleep disorder,Obstructive Sleep Apnea,2017,Other Clinical Endpoints,6,5
Sleep disorder,Obstructive Sleep Apnea,2017,Quality of Life/PRO,52,18
Sleep disorder,Obstructive Sleep Apnea,2017,Survival/Time-to-Event,1,1
Sleep disorder,Obstructive Sleep Apnea,2017,Symptoms/Pain,19,13
Sleep disorder,Obstructive Sleep Apnea,2017,Treatment Adherence,4,4
Sleep disorder,Obstructive Sleep Apnea,2017,Vital Signs/Physical Measures,22,9
Sleep disorder,Restless Legs Syndrome,2017,Adverse Events/Safety,1,1
Sleep disorder,Restless Legs Syndrome,2017,Disease Activity Scores,1,1
Sleep disorder,Restless Legs Syndrome,2017,Quality of Life/PRO,3,1
Sleep disorder,Restless Legs Syndrome,2017,Response Rates,2,1
Sleep disorder,Restless Legs Syndrome,2017,Symptoms/Pain,2,2
Blood disease,Anemia,2018,Adverse Events/Safety,25,10
Blood disease,Anemia,2018,Biomarkers/Lab Values,66,13
Blood disease,Anemia,2018,Disease Control,1,1
Blood disease,Anemia,2018,Dose-Finding,2,1
Blood disease,Anemia,2018,Immunogenicity,4,2
Blood disease,Anemia,2018,Mortality,2,2
Blood disease,Anemia,2018,Other Clinical Endpoints,1,1
Blood disease,Anemia,2018,Pharmacokinetics,19,3
Blood disease,Anemia,2018,Quality of Life/PRO,16,2
Blood disease,Anemia,2018,Response Rates,4,3
Blood disease,Anemia,2018,Survival/Time-to-Event,3,2
Blood disease,Anemia,2018,Symptoms/Pain,3,2
Blood disease,Anemia,2018,Treatment Adherence,2,2
Blood disease,Anemia,2018,Vital Signs/Physical Measures,15,5
Blood disease,Hemoglobinopathies,2018,Adverse Events/Safety,1,1
Blood disease,Hemoglobinopathies,2018,Biomarkers/Lab Values,1,1
Blood disease,Hemoglobinopathies,2018,Vital Signs/Physical Measures,3,1
Blood disease,Immune Thrombocytopenia,2018,Adverse Events/Safety,9,3
Blood disease,Immune Thrombocytopenia,2018,Biomarkers/Lab Values,11,3
Blood disease,Immune Thrombocytopenia,2018,Hospitalization/Healthcare Use,1,1
Blood disease,Immune Thrombocytopenia,2018,Mental Health Outcomes,8,1
Blood disease,Immune Thrombocytopenia,2018,Mortality,4,2
Blood disease,Immune Thrombocytopenia,2018,Pharmacokinetics,17,2
Blood disease,Immune Thrombocytopenia,2018,Quality of Life/PRO,21,2
Blood disease,Immune Thrombocytopenia,2018,Response Rates,7,3
Blood disease,Immune Thrombocytopenia,2018,Survival/Time-to-Event,2,2
Blood disease,Immune Thrombocytopenia,2018,Symptoms/Pain,2,1
Blood disease,Immune Thrombocytopenia,2018,Vital Signs/Physical Measures,1,1
Blood disease,Myelodysplastic Syndromes,2018,Adverse Events/Safety,15,10
Blood disease,Myelodysplastic Syndromes,2018,Biomarkers/Lab Values,9,5
Blood disease,Myelodysplastic Syndromes,2018,Disease Control,2,1
Blood disease,Myelodysplastic Syndromes,2018,Dose-Finding,1,1
Blood disease,Myelodysplastic Syndromes,2018,Functional Status,3,2
Blood disease,Myelodysplastic Syndromes,2018,Imaging Outcomes,1,1
Blood disease,Myelodysplastic Syndromes,2018,Immunogenicity,2,1
Blood disease,Myelodysplastic Syndromes,2018,Mental Health Outcomes,5,4
Blood disease,Myelodysplastic Syndromes,2018,Mortality,1,1
Blood disease,Myelodysplastic Syndromes,2018,Other Clinical Endpoints,2,2
Blood disease,Myelodysplastic Syndromes,2018,Pharmacokinetics,20,2
Blood disease,Myelodysplastic Syndromes,2018,Quality of Life/PRO,10,6
Blood disease,Myelodysplastic Syndromes,2018,Remission/Cure,2,1
Blood disease,Myelodysplastic Syndromes,2018,Response Rates,17,4
Blood disease,Myelodysplastic Syndromes,2018,Survival/Time-to-Event,9,3
Blood disease,Myelodysplastic Syndromes,2018,Symptoms/Pain,12,3
Blood disease,Neutropenia,2018,Adverse Events/Safety,7,2
Blood disease,Neutropenia,2018,Biomarkers/Lab Values,3,2
Blood disease,Neutropenia,2018,Hospitalization/Healthcare Use,1,1
Blood disease,Neutropenia,2018,Symptoms/Pain,1,1
Blood disease,Sickle Cell Disease,2018,Adverse Events/Safety,20,8
Blood disease,Sickle Cell Disease,2018,Biomarkers/Lab Values,9,5
Blood disease,Sickle Cell Disease,2018,Disease Control,1,1
Blood disease,Sickle Cell Disease,2018,Functional Status,1,1
Blood disease,Sickle Cell Disease,2018,Hospitalization/Healthcare Use,12,7
Blood disease,Sickle Cell Disease,2018,Imaging Outcomes,1,1
Blood disease,Sickle Cell Disease,2018,Immunogenicity,1,1
Blood disease,Sickle Cell Disease,2018,Mental Health Outcomes,9,3
Blood disease,Sickle Cell Disease,2018,Other Clinical Endpoints,1,1
Blood disease,Sickle Cell Disease,2018,Pharmacokinetics,10,2
Blood disease,Sickle Cell Disease,2018,Quality of Life/PRO,34,10
Blood disease,Sickle Cell Disease,2018,Survival/Time-to-Event,1,1
Blood disease,Sickle Cell Disease,2018,Symptoms/Pain,12,8
Blood disease,Sickle Cell Disease,2018,Treatment Adherence,9,6
Blood disease,Sickle Cell Disease,2018,Vital Signs/Physical Measures,1,1
Blood disease,Thalassemia,2018,Adverse Events/Safety,2,2
Blood disease,Thalassemia,2018,Biomarkers/Lab Values,14,4
Blood disease,Thalassemia,2018,Disease Control,1,1
Blood disease,Thalassemia,2018,Functional Status,1,1
Blood disease,Thalassemia,2018,Hospitalization/Healthcare Use,2,1
Blood disease,Thalassemia,2018,Immunogenicity,3,2
Blood disease,Thalassemia,2018,Pharmacokinetics,6,1
Blood disease,Thalassemia,2018,Quality of Life/PRO,6,1
Blood disease,Thalassemia,2018,Response Rates,1,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Adverse Events/Safety,9,5
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Biomarkers/Lab Values,26,6
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Disease Activity Scores,3,2
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Disease Control,2,2
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Immunogenicity,1,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Mortality,1,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Pharmacokinetics,5,2
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Quality of Life/PRO,1,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Remission/Cure,1,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Response Rates,2,2
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Survival/Time-to-Event,2,2
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Symptoms/Pain,2,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Treatment Adherence,1,1
Blood disease,Thrombotic Thrombocytopenic Purpura,2018,Vital Signs/Physical Measures,1,1
Cardiovascular disease,Acute Coronary Syndrome,2018,Adverse Events/Safety,14,6
Cardiovascular disease,Acute Coronary Syndrome,2018,Biomarkers/Lab Values,15,4
Cardiovascular disease,Acute Coronary Syndrome,2018,Hospitalization/Healthcare Use,6,4
Cardiovascular disease,Acute Coronary Syndrome,2018,Imaging Outcomes,7,4
Cardiovascular disease,Acute Coronary Syndrome,2018,Mental Health Outcomes,10,2
Cardiovascular disease,Acute Coronary Syndrome,2018,Mortality,5,2
Cardiovascular disease,Acute Coronary Syndrome,2018,Other Clinical Endpoints,1,1
Cardiovascular disease,Acute Coronary Syndrome,2018,Quality of Life/PRO,5,1
Cardiovascular disease,Acute Coronary Syndrome,2018,Response Rates,1,1
Cardiovascular disease,Acute Coronary Syndrome,2018,Survival/Time-to-Event,7,2
Cardiovascular disease,Acute Coronary Syndrome,2018,Treatment Adherence,6,4
Cardiovascular disease,Acute Coronary Syndrome,2018,Vital Signs/Physical Measures,1,1
Cardiovascular disease,Aortic Stenosis,2018,Adverse Events/Safety,55,11
Cardiovascular disease,Aortic Stenosis,2018,Biomarkers/Lab Values,3,2
Cardiovascular disease,Aortic Stenosis,2018,Disease Control,2,2
Cardiovascular disease,Aortic Stenosis,2018,Functional Status,2,2
Cardiovascular disease,Aortic Stenosis,2018,Hospitalization/Healthcare Use,4,3
Cardiovascular disease,Aortic Stenosis,2018,Imaging Outcomes,11,4
Cardiovascular disease,Aortic Stenosis,2018,Mortality,12,8
Cardiovascular disease,Aortic Stenosis,2018,Other Clinical Endpoints,6,5
Cardiovascular disease,Aortic Stenosis,2018,Quality of Life/PRO,9,3
Cardiovascular disease,Aortic Stenosis,2018,Response Rates,1,1
Cardiovascular disease,Aortic Stenosis,2018,Survival/Time-to-Event,1,1
Cardiovascular disease,Aortic Stenosis,2018,Symptoms/Pain,4,1
Cardiovascular disease,Aortic Stenosis,2018,Vital Signs/Physical Measures,2,1
Cardiovascular disease,Atherosclerosis,2018,Adverse Events/Safety,14,6
Cardiovascular disease,Atherosclerosis,2018,Biomarkers/Lab Values,23,7
Cardiovascular disease,Atherosclerosis,2018,Disease Activity Scores,3,2
Cardiovascular disease,Atherosclerosis,2018,Disease Control,3,3
Cardiovascular disease,Atherosclerosis,2018,Functional Status,1,1
Cardiovascular disease,Atherosclerosis,2018,Hospitalization/Healthcare Use,2,2
Cardiovascular disease,Atherosclerosis,2018,Imaging Outcomes,5,5
Cardiovascular disease,Atherosclerosis,2018,Mental Health Outcomes,1,1
Cardiovascular disease,Atherosclerosis,2018,Microbiological/Virological,1,1
Cardiovascular disease,Atherosclerosis,2018,Other Clinical Endpoints,1,1
Cardiovascular disease,Atherosclerosis,2018,Pharmacokinetics,1,1
Cardiovascular disease,Atherosclerosis,2018,Quality of Life/PRO,10,4
Cardiovascular disease,Atherosclerosis,2018,Survival/Time-to-Event,3,3
Cardiovascular disease,Atherosclerosis,2018,Symptoms/Pain,5,3
Cardiovascular disease,Atherosclerosis,2018,Vital Signs/Physical Measures,6,2
Cardiovascular disease,Atrial Fibrillation,2018,Adverse Events/Safety,75,29
Cardiovascular disease,Atrial Fibrillation,2018,Biomarkers/Lab Values,8,4
Cardiovascular disease,Atrial Fibrillation,2018,Disease Activity Scores,6,4
Cardiovascular disease,Atrial Fibrillation,2018,Disease Control,29,15
Cardiovascular disease,Atrial Fibrillation,2018,Functional Status,2,2
Cardiovascular disease,Atrial Fibrillation,2018,Hospitalization/Healthcare Use,14,10
Cardiovascular disease,Atrial Fibrillation,2018,Imaging Outcomes,9,7
Cardiovascular disease,Atrial Fibrillation,2018,Mental Health Outcomes,2,2
Cardiovascular disease,Atrial Fibrillation,2018,Mortality,1,1
Cardiovascular disease,Atrial Fibrillation,2018,Other Clinical Endpoints,9,7
Cardiovascular disease,Atrial Fibrillation,2018,Pharmacokinetics,1,1
Cardiovascular disease,Atrial Fibrillation,2018,Quality of Life/PRO,5,4
Cardiovascular disease,Atrial Fibrillation,2018,Response Rates,11,8
Cardiovascular disease,Atrial Fibrillation,2018,Survival/Time-to-Event,6,5
Cardiovascular disease,Atrial Fibrillation,2018,Treatment Adherence,3,3
Cardiovascular disease,Atrial Fibrillation,2018,Vital Signs/Physical Measures,6,5
Cardiovascular disease,Cardiomyopathy,2018,Adverse Events/Safety,34,9
Cardiovascular disease,Cardiomyopathy,2018,Biomarkers/Lab Values,12,5
Cardiovascular disease,Cardiomyopathy,2018,Disease Activity Scores,3,2
Cardiovascular disease,Cardiomyopathy,2018,Disease Control,6,1
Cardiovascular disease,Cardiomyopathy,2018,Functional Status,8,6
Cardiovascular disease,Cardiomyopathy,2018,Hospitalization/Healthcare Use,8,4
Cardiovascular disease,Cardiomyopathy,2018,Imaging Outcomes,17,6
Cardiovascular disease,Cardiomyopathy,2018,Mortality,3,2
Cardiovascular disease,Cardiomyopathy,2018,Other Clinical Endpoints,1,1
Cardiovascular disease,Cardiomyopathy,2018,Pharmacokinetics,1,1
Cardiovascular disease,Cardiomyopathy,2018,Quality of Life/PRO,11,6
Cardiovascular disease,Cardiomyopathy,2018,Response Rates,2,2
Cardiovascular disease,Cardiomyopathy,2018,Survival/Time-to-Event,2,1
Cardiovascular disease,Cardiomyopathy,2018,Symptoms/Pain,5,5
Cardiovascular disease,Cardiomyopathy,2018,Treatment Adherence,1,1
Cardiovascular disease,Cardiomyopathy,2018,Vital Signs/Physical Measures,9,4
Cardiovascular disease,Coronary Artery Disease,2018,Adverse Events/Safety,44,13
Cardiovascular disease,Coronary Artery Disease,2018,Biomarkers/Lab Values,66,11
Cardiovascular disease,Coronary Artery Disease,2018,Disease Activity Scores,1,1
Cardiovascular disease,Coronary Artery Disease,2018,Disease Control,3,3
Cardiovascular disease,Coronary Artery Disease,2018,Functional Status,10,6
Cardiovascular disease,Coronary Artery Disease,2018,Hospitalization/Healthcare Use,11,7
Cardiovascular disease,Coronary Artery Disease,2018,Imaging Outcomes,26,11
Cardiovascular disease,Coronary Artery Disease,2018,Mental Health Outcomes,3,2
Cardiovascular disease,Coronary Artery Disease,2018,Mortality,16,7
Cardiovascular disease,Coronary Artery Disease,2018,Other Clinical Endpoints,2,2
Cardiovascular disease,Coronary Artery Disease,2018,Pharmacokinetics,3,1
Cardiovascular disease,Coronary Artery Disease,2018,Quality of Life/PRO,25,8
Cardiovascular disease,Coronary Artery Disease,2018,Response Rates,1,1
Cardiovascular disease,Coronary Artery Disease,2018,Survival/Time-to-Event,5,2
Cardiovascular disease,Coronary Artery Disease,2018,Symptoms/Pain,7,5
Cardiovascular disease,Coronary Artery Disease,2018,Treatment Adherence,12,5
Cardiovascular disease,Coronary Artery Disease,2018,Vital Signs/Physical Measures,18,5
Cardiovascular disease,Familial Hypercholesterolemia,2018,Adverse Events/Safety,14,9
Cardiovascular disease,Familial Hypercholesterolemia,2018,Biomarkers/Lab Values,134,13
Cardiovascular disease,Familial Hypercholesterolemia,2018,Disease Activity Scores,3,2
Cardiovascular disease,Familial Hypercholesterolemia,2018,Disease Control,1,1
Cardiovascular disease,Familial Hypercholesterolemia,2018,Functional Status,1,1
Cardiovascular disease,Familial Hypercholesterolemia,2018,Hospitalization/Healthcare Use,1,1
Cardiovascular disease,Familial Hypercholesterolemia,2018,Imaging Outcomes,10,4
Cardiovascular disease,Familial Hypercholesterolemia,2018,Immunogenicity,2,2
Cardiovascular disease,Familial Hypercholesterolemia,2018,Mental Health Outcomes,1,1
Cardiovascular disease,Familial Hypercholesterolemia,2018,Pharmacokinetics,19,6
Cardiovascular disease,Familial Hypercholesterolemia,2018,Quality of Life/PRO,5,3
Cardiovascular disease,Familial Hypercholesterolemia,2018,Response Rates,4,3
Cardiovascular disease,Familial Hypercholesterolemia,2018,Survival/Time-to-Event,1,1
Cardiovascular disease,Familial Hypercholesterolemia,2018,Symptoms/Pain,1,1
Cardiovascular disease,Familial Hypercholesterolemia,2018,Vital Signs/Physical Measures,12,5
Cardiovascular disease,Heart Failure,2018,Adverse Events/Safety,27,14
Cardiovascular disease,Heart Failure,2018,Biomarkers/Lab Values,80,26
Cardiovascular disease,Heart Failure,2018,Disease Control,1,1
Cardiovascular disease,Heart Failure,2018,Functional Status,23,14
Cardiovascular disease,Heart Failure,2018,Hospitalization/Healthcare Use,36,15
Cardiovascular disease,Heart Failure,2018,Imaging Outcomes,30,9
Cardiovascular disease,Heart Failure,2018,Mental Health Outcomes,7,4
Cardiovascular disease,Heart Failure,2018,Mortality,22,10
Cardiovascular disease,Heart Failure,2018,Other Clinical Endpoints,1,1
Cardiovascular disease,Heart Failure,2018,Pharmacokinetics,6,1
Cardiovascular disease,Heart Failure,2018,Quality of Life/PRO,42,18
Cardiovascular disease,Heart Failure,2018,Response Rates,1,1
Cardiovascular disease,Heart Failure,2018,Survival/Time-to-Event,1,1
Cardiovascular disease,Heart Failure,2018,Symptoms/Pain,18,6
Cardiovascular disease,Heart Failure,2018,Treatment Adherence,13,6
Cardiovascular disease,Heart Failure,2018,Vital Signs/Physical Measures,32,14
Cardiovascular disease,Hyperlipidemia,2018,Adverse Events/Safety,3,3
Cardiovascular disease,Hyperlipidemia,2018,Biomarkers/Lab Values,13,4
Cardiovascular disease,Hyperlipidemia,2018,Imaging Outcomes,2,1
Cardiovascular disease,Hyperlipidemia,2018,Immunogenicity,3,2
Cardiovascular disease,Hyperlipidemia,2018,Pharmacokinetics,4,2
Cardiovascular disease,Hyperlipidemia,2018,Quality of Life/PRO,13,4
Cardiovascular disease,Hyperlipidemia,2018,Response Rates,2,1
Cardiovascular disease,Hyperlipidemia,2018,Symptoms/Pain,5,3
Cardiovascular disease,Hyperlipidemia,2018,Vital Signs/Physical Measures,4,1
Cardiovascular disease,Hypertension,2018,Adverse Events/Safety,2,2
Cardiovascular disease,Hypertension,2018,Biomarkers/Lab Values,15,5
Cardiovascular disease,Hypertension,2018,Disease Control,2,1
Cardiovascular disease,Hypertension,2018,Functional Status,5,3
Cardiovascular disease,Hypertension,2018,Hospitalization/Healthcare Use,3,3
Cardiovascular disease,Hypertension,2018,Imaging Outcomes,6,2
Cardiovascular disease,Hypertension,2018,Mental Health Outcomes,17,6
Cardiovascular disease,Hypertension,2018,Other Clinical Endpoints,1,1
Cardiovascular disease,Hypertension,2018,Quality of Life/PRO,13,8
Cardiovascular disease,Hypertension,2018,Survival/Time-to-Event,1,1
Cardiovascular disease,Hypertension,2018,Symptoms/Pain,5,4
Cardiovascular disease,Hypertension,2018,Treatment Adherence,6,4
Cardiovascular disease,Hypertension,2018,Vital Signs/Physical Measures,42,16
Cardiovascular disease,Mitral Regurgitation,2018,Adverse Events/Safety,7,4
Cardiovascular disease,Mitral Regurgitation,2018,Biomarkers/Lab Values,9,1
Cardiovascular disease,Mitral Regurgitation,2018,Disease Control,2,2
Cardiovascular disease,Mitral Regurgitation,2018,Functional Status,1,1
Cardiovascular disease,Mitral Regurgitation,2018,Imaging Outcomes,12,2
Cardiovascular disease,Mitral Regurgitation,2018,Mortality,1,1
Cardiovascular disease,Mitral Regurgitation,2018,Pharmacokinetics,9,1
Cardiovascular disease,Mitral Regurgitation,2018,Quality of Life/PRO,1,1
Cardiovascular disease,Mitral Regurgitation,2018,Response Rates,1,1
Cardiovascular disease,Mitral Regurgitation,2018,Vital Signs/Physical Measures,11,1
Cardiovascular disease,Myocardial Infarction,2018,Adverse Events/Safety,6,4
Cardiovascular disease,Myocardial Infarction,2018,Biomarkers/Lab Values,11,4
Cardiovascular disease,Myocardial Infarction,2018,Disease Activity Scores,1,1
Cardiovascular disease,Myocardial Infarction,2018,Disease Control,1,1
Cardiovascular disease,Myocardial Infarction,2018,Functional Status,2,2
Cardiovascular disease,Myocardial Infarction,2018,Hospitalization/Healthcare Use,2,2
Cardiovascular disease,Myocardial Infarction,2018,Imaging Outcomes,7,1
Cardiovascular disease,Myocardial Infarction,2018,Immunogenicity,1,1
Cardiovascular disease,Myocardial Infarction,2018,Mortality,6,4
Cardiovascular disease,Myocardial Infarction,2018,Pharmacokinetics,3,2
Cardiovascular disease,Myocardial Infarction,2018,Quality of Life/PRO,1,1
Cardiovascular disease,Myocardial Infarction,2018,Response Rates,1,1
Cardiovascular disease,Myocardial Infarction,2018,Survival/Time-to-Event,1,1
Cardiovascular disease,Myocardial Infarction,2018,Treatment Adherence,6,1
Cardiovascular disease,Myocardial Infarction,2018,Vital Signs/Physical Measures,1,1
Cardiovascular disease,Peripheral Artery Disease,2018,Adverse Events/Safety,25,11
Cardiovascular disease,Peripheral Artery Disease,2018,Biomarkers/Lab Values,13,5
Cardiovascular disease,Peripheral Artery Disease,2018,Disease Activity Scores,4,3
Cardiovascular disease,Peripheral Artery Disease,2018,Disease Control,8,4
Cardiovascular disease,Peripheral Artery Disease,2018,Functional Status,41,16
Cardiovascular disease,Peripheral Artery Disease,2018,Hospitalization/Healthcare Use,3,3
Cardiovascular disease,Peripheral Artery Disease,2018,Imaging Outcomes,21,9
Cardiovascular disease,Peripheral Artery Disease,2018,Mental Health Outcomes,3,1
Cardiovascular disease,Peripheral Artery Disease,2018,Mortality,1,1
Cardiovascular disease,Peripheral Artery Disease,2018,Other Clinical Endpoints,4,3
Cardiovascular disease,Peripheral Artery Disease,2018,Quality of Life/PRO,28,11
Cardiovascular disease,Peripheral Artery Disease,2018,Response Rates,1,1
Cardiovascular disease,Peripheral Artery Disease,2018,Survival/Time-to-Event,2,1
Cardiovascular disease,Peripheral Artery Disease,2018,Symptoms/Pain,7,4
Cardiovascular disease,Peripheral Artery Disease,2018,Treatment Adherence,3,3
Cardiovascular disease,Peripheral Artery Disease,2018,Vital Signs/Physical Measures,15,9
Cardiovascular disease,Shock,2018,Adverse Events/Safety,7,5
Cardiovascular disease,Shock,2018,Biomarkers/Lab Values,11,2
Cardiovascular disease,Shock,2018,Disease Activity Scores,1,1
Cardiovascular disease,Shock,2018,Hospitalization/Healthcare Use,15,5
Cardiovascular disease,Shock,2018,Mental Health Outcomes,1,1
Cardiovascular disease,Shock,2018,Mortality,15,7
Cardiovascular disease,Shock,2018,Other Clinical Endpoints,1,1
Cardiovascular disease,Shock,2018,Quality of Life/PRO,1,1
Cardiovascular disease,Shock,2018,Survival/Time-to-Event,7,4
Cardiovascular disease,Shock,2018,Treatment Adherence,2,1
Cardiovascular disease,Shock,2018,Vital Signs/Physical Measures,1,1
Cardiovascular disease,Ventricular Arrhythmias,2018,Adverse Events/Safety,10,6
Cardiovascular disease,Ventricular Arrhythmias,2018,Biomarkers/Lab Values,16,3
Cardiovascular disease,Ventricular Arrhythmias,2018,Functional Status,3,2
Cardiovascular disease,Ventricular Arrhythmias,2018,Imaging Outcomes,13,1
Cardiovascular disease,Ventricular Arrhythmias,2018,Mental Health Outcomes,15,1
Cardiovascular disease,Ventricular Arrhythmias,2018,Other Clinical Endpoints,4,2
Cardiovascular disease,Ventricular Arrhythmias,2018,Quality of Life/PRO,1,1
Cardiovascular disease,Ventricular Arrhythmias,2018,Response Rates,3,3
Cardiovascular disease,Ventricular Arrhythmias,2018,Survival/Time-to-Event,3,3
Cardiovascular disease,Ventricular Arrhythmias,2018,Treatment Adherence,3,2
Cardiovascular disease,Ventricular Arrhythmias,2018,Vital Signs/Physical Measures,19,5
Clinical finding,Acute Pain,2018,Adverse Events/Safety,58,33
Clinical finding,Acute Pain,2018,Biomarkers/Lab Values,4,4
Clinical finding,Acute Pain,2018,Disease Activity Scores,2,2
Clinical finding,Acute Pain,2018,Functional Status,12,7
Clinical finding,Acute Pain,2018,Hospitalization/Healthcare Use,29,14
Clinical finding,Acute Pain,2018,Imaging Outcomes,1,1
Clinical finding,Acute Pain,2018,Mental Health Outcomes,13,6
Clinical finding,Acute Pain,2018,Other Clinical Endpoints,1,1
Clinical finding,Acute Pain,2018,Pharmacokinetics,9,6
Clinical finding,Acute Pain,2018,Quality of Life/PRO,36,20
Clinical finding,Acute Pain,2018,Response Rates,1,1
Clinical finding,Acute Pain,2018,Survival/Time-to-Event,7,4
Clinical finding,Acute Pain,2018,Symptoms/Pain,143,60
Clinical finding,Acute Pain,2018,Treatment Adherence,11,7
Clinical finding,Acute Pain,2018,Vital Signs/Physical Measures,15,3
Clinical finding,Edema,2018,Adverse Events/Safety,1,1
Clinical finding,Edema,2018,Disease Activity Scores,1,1
Clinical finding,Edema,2018,Imaging Outcomes,5,1
Clinical finding,Edema,2018,Mental Health Outcomes,15,1
Clinical finding,Edema,2018,Other Clinical Endpoints,1,1
Clinical finding,Edema,2018,Quality of Life/PRO,12,3
Clinical finding,Edema,2018,Symptoms/Pain,2,2
Clinical finding,Fatigue,2018,Functional Status,3,2
Clinical finding,Fatigue,2018,Imaging Outcomes,3,2
Clinical finding,Fatigue,2018,Quality of Life/PRO,4,3
Clinical finding,Fatigue,2018,Symptoms/Pain,3,3
Clinical finding,Fatigue,2018,Vital Signs/Physical Measures,2,2
Clinical finding,Fever,2018,Adverse Events/Safety,17,4
Clinical finding,Fever,2018,Biomarkers/Lab Values,12,3
Clinical finding,Fever,2018,Functional Status,1,1
Clinical finding,Fever,2018,Hospitalization/Healthcare Use,3,1
Clinical finding,Fever,2018,Imaging Outcomes,1,1
Clinical finding,Fever,2018,Immunogenicity,13,3
Clinical finding,Fever,2018,Microbiological/Virological,4,2
Clinical finding,Fever,2018,Mortality,1,1
Clinical finding,Fever,2018,Other Clinical Endpoints,1,1
Clinical finding,Fever,2018,Vital Signs/Physical Measures,7,4
Congenital disease,Lysosomal Storage Disorders,2018,Adverse Events/Safety,5,4
Congenital disease,Lysosomal Storage Disorders,2018,Biomarkers/Lab Values,16,4
Congenital disease,Lysosomal Storage Disorders,2018,Functional Status,8,1
Congenital disease,Lysosomal Storage Disorders,2018,Imaging Outcomes,2,2
Congenital disease,Lysosomal Storage Disorders,2018,Immunogenicity,2,2
Congenital disease,Lysosomal Storage Disorders,2018,Pharmacokinetics,9,2
Congenital disease,Lysosomal Storage Disorders,2018,Quality of Life/PRO,9,3
Congenital disease,Lysosomal Storage Disorders,2018,Response Rates,2,2
Congenital disease,Lysosomal Storage Disorders,2018,Survival/Time-to-Event,1,1
Congenital disease,Lysosomal Storage Disorders,2018,Symptoms/Pain,8,3
Congenital disease,Lysosomal Storage Disorders,2018,Vital Signs/Physical Measures,6,1
Congenital disease,Phenylketonuria,2018,Adverse Events/Safety,7,5
Congenital disease,Phenylketonuria,2018,Biomarkers/Lab Values,25,6
Congenital disease,Phenylketonuria,2018,Hospitalization/Healthcare Use,2,1
Congenital disease,Phenylketonuria,2018,Imaging Outcomes,1,1
Congenital disease,Phenylketonuria,2018,Pharmacokinetics,4,1
Congenital disease,Phenylketonuria,2018,Quality of Life/PRO,2,1
Congenital disease,Phenylketonuria,2018,Response Rates,2,2
Congenital disease,Phenylketonuria,2018,Treatment Adherence,1,1
Disorder of body system,Cachexia,2018,Adverse Events/Safety,3,2
Disorder of body system,Cachexia,2018,Biomarkers/Lab Values,6,1
Disorder of body system,Cachexia,2018,Functional Status,11,1
Disorder of body system,Cachexia,2018,Imaging Outcomes,1,1
Disorder of body system,Cachexia,2018,Pharmacokinetics,2,1
Disorder of body system,Cachexia,2018,Quality of Life/PRO,10,1
Disorder of body system,Cachexia,2018,Symptoms/Pain,1,1
Disorder of body system,Cachexia,2018,Vital Signs/Physical Measures,5,1
Disorder of body system,Multiple Organ Failure,2018,Adverse Events/Safety,8,3
