disease_area,disease,phase,completion_period,period_trial_count,outcome_normalized,percentage,rank,outcome_position
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2016-2020,5,P2Y12 REACTION UNITS,0.0000,2.0000,9
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2021-2025,3,CHANGE IN BNP,0.0000,1.0000,5
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2021-2025,3,CHANGE IN TOTAL EXERCISE TIME,0.0000,1.0000,7
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2021-2025,3,COMPOSITE CARDIOVASCULAR EVENTS,0.0000,1.0000,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2021-2025,3,P2Y12 REACTION UNITS,0.0000,1.0000,9
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,2021-2025,3,ACTIVATED CLOTTING TIME,0.0000,1.0000,13
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2006-2010,6,COMPOSITE CARDIOVASCULAR EVENTS,50.0000,1.0000,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2006-2010,6,ALL-CAUSE MORTALITY,33.3333,2.0000,1
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2006-2010,6,7-DAY POINT PREVALENCE SMOKING ABSTINENCE,33.3333,2.0000,4
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2006-2010,6,CARDIOVASCULAR MORTALITY,0.0000,4.0000,2
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2006-2010,6,NUMBER OF PARTICIPANTS WITH FIRST OCCURRENCE OF STROKE,0.0000,4.0000,3
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2011-2015,16,COMPOSITE CARDIOVASCULAR EVENTS,35.0000,1.0000,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2011-2015,16,CARDIOVASCULAR MORTALITY,35.0000,1.0000,2
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2011-2015,16,ALL-CAUSE MORTALITY,34.4444,3.0000,1
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2011-2015,16,7-DAY POINT PREVALENCE SMOKING ABSTINENCE,33.3333,4.0000,4
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2011-2015,16,NUMBER OF PARTICIPANTS WITH FIRST OCCURRENCE OF STROKE,26.6667,5.0000,3
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2016-2020,3,ALL-CAUSE MORTALITY,0.0000,1.0000,1
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2016-2020,3,COMPOSITE CARDIOVASCULAR EVENTS,0.0000,1.0000,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2016-2020,3,CARDIOVASCULAR MORTALITY,0.0000,1.0000,2
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2016-2020,3,NUMBER OF PARTICIPANTS WITH FIRST OCCURRENCE OF STROKE,0.0000,1.0000,3
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2016-2020,3,7-DAY POINT PREVALENCE SMOKING ABSTINENCE,0.0000,1.0000,4
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2021-2025,3,ALL-CAUSE MORTALITY,100.0000,1.0000,1
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2021-2025,3,COMPOSITE CARDIOVASCULAR EVENTS,100.0000,1.0000,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2021-2025,3,CARDIOVASCULAR MORTALITY,100.0000,1.0000,2
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2021-2025,3,NUMBER OF PARTICIPANTS WITH FIRST OCCURRENCE OF STROKE,100.0000,1.0000,3
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,2021-2025,3,7-DAY POINT PREVALENCE SMOKING ABSTINENCE,0.0000,5.0000,4
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2006-2010,5,6-MINUTE WALK DISTANCE,0.0000,1.0000,10
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2006-2010,5,ADVERSE ISCHEMIC OR BLEEDING EVENTS,0.0000,1.0000,16
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2006-2010,5,AGREEMENT PERCENTAGE BETWEEN AFFR AND CFFR,0.0000,1.0000,17
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2006-2010,5,AVERAGE WEEKLY ANGINA FREQUENCY,0.0000,1.0000,18
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2006-2010,5,AVERAGE WEEKLY FREQUENCY OF SUBLINGUAL NITROGLYCERIN USE,0.0000,1.0000,19
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2011-2015,12,AVERAGE WEEKLY ANGINA FREQUENCY,50.0000,1.0000,18
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2011-2015,12,AVERAGE WEEKLY FREQUENCY OF SUBLINGUAL NITROGLYCERIN USE,50.0000,1.0000,19
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2011-2015,12,6-MINUTE WALK DISTANCE,25.0000,3.0000,10
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2011-2015,12,ADVERSE ISCHEMIC OR BLEEDING EVENTS,0.0000,4.0000,16
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2011-2015,12,AGREEMENT PERCENTAGE BETWEEN AFFR AND CFFR,0.0000,4.0000,17
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2016-2020,7,ADVERSE ISCHEMIC OR BLEEDING EVENTS,50.0000,1.0000,16
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2016-2020,7,6-MINUTE WALK DISTANCE,0.0000,2.0000,10
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2016-2020,7,AGREEMENT PERCENTAGE BETWEEN AFFR AND CFFR,0.0000,2.0000,17
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2016-2020,7,AVERAGE WEEKLY ANGINA FREQUENCY,0.0000,2.0000,18
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2016-2020,7,AVERAGE WEEKLY FREQUENCY OF SUBLINGUAL NITROGLYCERIN USE,0.0000,2.0000,19
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2021-2025,3,AGREEMENT PERCENTAGE BETWEEN AFFR AND CFFR,50.0000,1.0000,17
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2021-2025,3,6-MINUTE WALK DISTANCE,0.0000,2.0000,10
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2021-2025,3,ADVERSE ISCHEMIC OR BLEEDING EVENTS,0.0000,2.0000,16
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2021-2025,3,AVERAGE WEEKLY ANGINA FREQUENCY,0.0000,2.0000,18
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,2021-2025,3,AVERAGE WEEKLY FREQUENCY OF SUBLINGUAL NITROGLYCERIN USE,0.0000,2.0000,19
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2006-2010,3,MAXIMUM PLASMA CONCENTRATION,50.0000,1.0000,0
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2006-2010,3,TIME TO MAXIMUM CONCENTRATION,0.0000,2.0000,2
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2006-2010,3,AUC FROM 0 TO INFINITY,0.0000,2.0000,1
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2006-2010,3,RENAL CLEARANCE,0.0000,2.0000,4
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2006-2010,3,APPARENT VOLUME OF DISTRIBUTION,0.0000,2.0000,3
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2011-2015,4,MAXIMUM PLASMA CONCENTRATION,100.0000,1.0000,0
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2011-2015,4,TIME TO MAXIMUM CONCENTRATION,83.3333,2.0000,2
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,2011-2015,4,AUC FROM 0 TO INFINITY,33.3333,3.0000,1
