outcome_normalized,disease_area,disease,outcome_trial_count,disease_trial_count,percentage
6-MINUTE WALK DISTANCE,Respiratory disease,Idiopathic Pulmonary Fibrosis,2,170,1.1765
6-MINUTE WALK DISTANCE,Musculoskeletal disorder,Low Back Pain,2,330,0.6061
6-MINUTE WALK DISTANCE,Congenital disease,Lysosomal Storage Disorders,2,179,1.1173
6-MINUTE WALK DISTANCE,Disorder of endocrine system,Metabolic Syndrome,2,285,0.7018
6-MINUTE WALK DISTANCE,Musculoskeletal disorder,Osteoporosis,2,441,0.4535
6-MINUTE WALK DISTANCE,Neoplastic disease,Acute Myeloid Leukemia,1,369,0.2710
6-MINUTE WALK DISTANCE,Clinical finding,Acute Pain,1,1010,0.0990
6-MINUTE WALK DISTANCE,Respiratory disease,Acute Respiratory Distress Syndrome,1,189,0.5291
6-MINUTE WALK DISTANCE,Blood disease,Anemia,1,312,0.3205
6-MINUTE WALK DISTANCE,Respiratory disease,Asthma,1,737,0.1357
6-MINUTE WALK DISTANCE,Respiratory disease,Bronchiectasis,1,255,0.3922
6-MINUTE WALK DISTANCE,Disorder of digestive system,Chronic Pancreatitis,1,282,0.3546
6-MINUTE WALK DISTANCE,Situation with explicit context,Drug-Drug Interaction,1,207,0.4831
6-MINUTE WALK DISTANCE,Neurological disorder,Essential Tremor,1,170,0.5882
6-MINUTE WALK DISTANCE,Clinical finding,Fatigue,1,83,1.2048
6-MINUTE WALK DISTANCE,Clinical finding,Fever,1,217,0.4608
6-MINUTE WALK DISTANCE,Infection,HIV/AIDS,1,1396,0.0716
6-MINUTE WALK DISTANCE,Disorder of endocrine system,Hypoparathyroidism,1,179,0.5587
6-MINUTE WALK DISTANCE,Procedure,Mechanical Ventilation,1,191,0.5236
6-MINUTE WALK DISTANCE,Procedure,Medical Device Study,1,134,0.7463
6-MINUTE WALK DISTANCE,Disorder of body system,Multiple Organ Failure,1,50,2.0000
6-MINUTE WALK DISTANCE,Neoplastic disease,Myeloproliferative Neoplasms,1,104,0.9615
6-MINUTE WALK DISTANCE,Cardiovascular disease,Myocardial Infarction,1,207,0.4831
6-MINUTE WALK DISTANCE,Neoplastic disease,Non-Small Cell Lung Cancer,1,944,0.1059
6-MINUTE WALK DISTANCE,Situation with explicit context,Post-Operative Care,1,282,0.3546
6-MINUTE WALK DISTANCE,Mental illness,Post-Traumatic Stress Disorder,1,473,0.2114
6-MINUTE WALK DISTANCE,Neoplastic disease,Prostate Cancer,1,906,0.1104
6-MINUTE WALK DISTANCE,Mental illness,Schizophrenia,1,692,0.1445
6-MINUTE WALK DISTANCE,Blood disease,Sickle Cell Disease,1,177,0.5650
6-MINUTE WALK DISTANCE,Disorder of immune function,Systemic Sclerosis,1,88,1.1364
6-MINUTE WALK DISTANCE,Injury,Trauma,1,219,0.4566
6-MINUTE WALK DISTANCE,Neurological disorder,Trigeminal Neuralgia,1,252,0.3968
6-MINUTE WALK DISTANCE,Disorder of endocrine system,Type 2 Diabetes,1,1369,0.0730
6-MINUTE WALK DISTANCE,Disorder of skin,Wound Healing,1,199,0.5025
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Glioblastoma,21,386,5.4404
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Acute Lymphoblastic Leukemia,4,364,1.0989
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Melanoma,4,560,0.7143
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Metastatic Disease,4,366,1.0929
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Brain Tumors,3,505,0.5941
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Breast Cancer,2,1499,0.1334
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Hodgkin Lymphoma,2,469,0.4264
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Locally Advanced Cancer,2,572,0.3497
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Non-Small Cell Lung Cancer,2,944,0.2119
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Prostate Cancer,2,906,0.2208
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Bladder Cancer,1,334,0.2994
