disease_domain,outcome_category,observed_endpoint_domain_records,expected_under_independence,within_domain_pct,standardized_residual,residual_flag
Disorder of ear,Vital Signs/Physical Measures,89,147.428882,3.246990,-4.812118,underrepresented
Congenital disease,Disease Activity Scores,20,57.142206,0.912825,-4.913480,underrepresented
Sleep disorder,Hospitalization/Healthcare Use,95,157.156002,1.576763,-4.958126,underrepresented
Musculoskeletal disorder,Response Rates,1231,1418.457802,5.263383,-4.977317,underrepresented
Disorder of digestive system,Dose-Finding,40,87.049396,0.169859,-5.042793,underrepresented
Disorder of immune function,Other Clinical Endpoints,169,249.317896,0.683270,-5.086694,underrepresented
Musculoskeletal disorder,Dose-Finding,39,86.454256,0.166752,-5.103663,underrepresented
Disorder of ear,Mortality,6,37.092710,0.218898,-5.105218,underrepresented
Disorder of the genitourinary system,Treatment Adherence,459,582.444512,2.197434,-5.114987,underrepresented
Disorder of labour / delivery,Quality of Life/PRO,174,258.185966,6.778340,-5.239301,underrepresented
Disorder of labour / delivery,Disease Activity Scores,24,66.948445,0.934944,-5.249008,underrepresented
Congenital disease,Survival/Time-to-Event,59,116.711014,2.692834,-5.341986,underrepresented
Sleep disorder,Disease Control,62,121.206124,1.029046,-5.377796,underrepresented
Mental illness,Functional Status,1826,2071.207324,4.309246,-5.387926,underrepresented
Procedure,Remission/Cure,22,66.215264,0.198305,-5.433669,underrepresented
Disorder of ear,Imaging Outcomes,36,86.748136,1.313389,-5.448664,underrepresented
Clinical finding,Microbiological/Virological,54,111.661373,0.461381,-5.456743,underrepresented
Respiratory disease,Dose-Finding,51,108.951288,0.173034,-5.551967,underrepresented
Disorder of body system,Survival/Time-to-Event,24,71.060015,1.799100,-5.582637,underrepresented
Disorder of digestive system,Mortality,218,318.677941,0.925729,-5.639730,underrepresented
Musculoskeletal disorder,Treatment Adherence,505,652.154933,2.159227,-5.762347,underrepresented
Musculoskeletal disorder,Other Clinical Endpoints,147,235.750260,0.628527,-5.780209,underrepresented
Neurological disorder,Treatment Adherence,970,1168.290893,2.315146,-5.801326,underrepresented
Respiratory disease,Other Clinical Endpoints,197,297.096938,0.668386,-5.807266,underrepresented
Neurological disorder,Dose-Finding,82,154.876877,0.195713,-5.855938,underrepresented
Respiratory disease,Adverse Events/Safety,3835,4218.923461,13.011468,-5.910767,underrepresented
Disorder of digestive system,Quality of Life/PRO,2078,2368.531868,8.824154,-5.969723,underrepresented
Disorder of body system,Immunogenicity,1,38.057346,0.074963,-6.006964,underrepresented
Sleep disorder,Mortality,27,81.533594,0.448133,-6.039428,underrepresented
Disorder of eye,Dose-Finding,11,57.225856,0.071055,-6.110670,underrepresented
Disorder of eye,Remission/Cure,32,92.399360,0.206705,-6.283446,underrepresented
Disorder of ear,Disease Activity Scores,18,71.486438,0.656695,-6.326039,underrepresented
Disorder of body system,Response Rates,23,80.905708,1.724138,-6.437716,underrepresented
Disorder of the genitourinary system,Disease Control,288,420.208052,1.378782,-6.449495,underrepresented
Disorder of body system,Adverse Events/Safety,101,190.949443,7.571214,-6.509375,underrepresented
Disorder of immune function,Microbiological/Virological,133,235.973376,0.537721,-6.703374,underrepresented
Disorder of labour / delivery,Mental Health Outcomes,53,129.417509,2.064667,-6.717325,underrepresented
Procedure,Mental Health Outcomes,400,559.313537,3.605553,-6.736356,underrepresented
Disorder of labour / delivery,Biomarkers/Lab Values,233,361.549940,9.076743,-6.760639,underrepresented
Congenital disease,Treatment Adherence,8,61.094213,0.365130,-6.792774,underrepresented
Disorder of digestive system,Immunogenicity,495,671.823418,2.102000,-6.822008,underrepresented
Disorder of digestive system,Adverse Events/Safety,2971,3370.815925,12.616247,-6.886405,underrepresented
Disorder of eye,Microbiological/Virological,64,147.695635,0.413410,-6.886824,underrepresented
